customer_age,age_group,gender,income_category,income_inr,income_group,credit_limit,total_trans_amt,total_trans_count,avg_trans_value,spending_level
34,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,4245,1534,34,45.11764706,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,21953,1413,37,38.18918919,Medium
32,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,1614,2659,63,42.20634921,High
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5140,1842,36,51.16666667,Medium
57,55+,M,$120K +,Rs1Cr +,High Income,31762,1515,36,42.08333333,Medium
48,46 - 55,F,Unknown,Unknown,Unknown,11692,2997,56,53.51785714,High
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,16043,2599,47,55.29787234,High
36,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,15488,2916,50,58.32,High
39,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,2503,4157,58,71.67241379,High
31,26 - 35,M,Less than $40K,<Rs33L,Low Income,3312,2670,50,53.4,High
31,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,6269,2221,57,38.96491228,High
36,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,20337,2460,74,33.24324324,High
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,2224,1698,41,41.41463415,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3100,694,12,57.83333333,Low
38,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,26437,2167,57,38.01754386,High
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9959,2760,44,62.72727273,High
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,25008,1753,43,40.76744186,Medium
37,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,2031,1678,36,46.61111111,Medium
58,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,1654,1887,60,31.45,Medium
58,55+,F,Less than $40K,<Rs33L,Low Income,4608,1535,31,49.51612903,Medium
37,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,3908,1903,30,63.43333333,Medium
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2798,2631,55,47.83636364,High
45,36 - 45,F,Less than $40K,<Rs33L,Low Income,2551,3753,63,59.57142857,High
36,36 - 45,F,Unknown,Unknown,Unknown,8621,1989,37,53.75675676,Medium
53,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,7451,2165,49,44.18367347,High
34,26 - 35,F,Less than $40K,<Rs33L,Low Income,2617,2003,47,42.61702128,High
35,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12634,717,18,39.83333333,Low
32,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,6407,1921,43,44.6744186,Medium
38,36 - 45,M,Less than $40K,<Rs33L,Low Income,1438.3,2412,58,41.5862069,High
37,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2672,2487,52,47.82692308,High
37,36 - 45,F,Unknown,Unknown,Unknown,11948,2792,51,54.74509804,High
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,2677,2170,63,34.44444444,High
52,46 - 55,F,Unknown,Unknown,Unknown,24703,4776,63,75.80952381,High
54,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2240,1518,36,42.16666667,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6052,1476,37,39.89189189,Medium
33,26 - 35,F,Less than $40K,<Rs33L,Low Income,2562,2256,70,32.22857143,High
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,15377,1848,49,37.71428571,Medium
37,36 - 45,M,$120K +,Rs1Cr +,High Income,8654,850,18,47.22222222,Low
31,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,2308,49,47.10204082,High
43,36 - 45,M,$120K +,Rs1Cr +,High Income,1438.3,1867,45,41.48888889,Medium
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,16040,1923,49,39.24489796,Medium
38,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,2801,1600,45,35.55555556,Medium
62,55+,F,Less than $40K,<Rs33L,Low Income,2658,1809,41,44.12195122,Medium
58,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,12423,1208,38,31.78947368,Medium
39,36 - 45,F,Unknown,Unknown,Unknown,9347,2201,46,47.84782609,High
30,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,3143,2510,57,44.03508772,High
46,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5106,3784,74,51.13513514,High
39,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,9871,1683,34,49.5,Medium
53,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,1525,1911,47,40.65957447,Medium
34,26 - 35,M,$120K +,Rs1Cr +,High Income,19630,2286,39,58.61538462,High
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,12547,3360,56,60,High
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,17686,2047,46,44.5,High
39,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3257,1534,35,43.82857143,Medium
36,36 - 45,F,Less than $40K,<Rs33L,Low Income,4824,1516,32,47.375,Medium
38,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,8603,1758,40,43.95,Medium
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,11498,4014,70,57.34285714,High
28,26 - 35,F,Less than $40K,<Rs33L,Low Income,3818,2947,87,33.87356322,High
37,36 - 45,F,Unknown,Unknown,Unknown,16594,2134,47,45.40425532,High
57,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,5387,1546,36,42.94444444,Medium
48,46 - 55,F,Less than $40K,<Rs33L,Low Income,2930,1545,21,73.57142857,Medium
33,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,10023,2878,65,44.27692308,High
38,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,9303,2261,37,61.10810811,High
36,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2956,1896,31,61.16129032,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2218,1941,58,33.46551724,Medium
36,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9959,2021,41,49.29268293,High
54,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,5335,1435,29,49.48275862,Medium
52,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7187,1159,26,44.57692308,Low
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2590,1188,40,29.7,Low
27,26 - 35,F,Less than $40K,<Rs33L,Low Income,4255,2236,57,39.22807018,High
32,26 - 35,F,Less than $40K,<Rs33L,Low Income,2778,1680,33,50.90909091,Medium
57,55+,M,$120K +,Rs1Cr +,High Income,10711,1180,29,40.68965517,Low
58,55+,M,$120K +,Rs1Cr +,High Income,16163,2171,48,45.22916667,High
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,2513,1454,30,48.46666667,Medium
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3291,1984,38,52.21052632,Medium
36,36 - 45,F,Less than $40K,<Rs33L,Low Income,8917,3327,80,41.5875,High
39,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,4955,1824,38,48,Medium
39,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,2909,1532,26,58.92307692,Medium
34,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,2901,75,38.68,High
54,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,1707,41,41.63414634,Medium
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,14015,1903,49,38.83673469,Medium
36,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2540,2384,61,39.08196721,High
37,36 - 45,M,$120K +,Rs1Cr +,High Income,3497,2337,61,38.31147541,High
27,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,3682,1826,35,52.17142857,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,4430,3395,70,48.5,High
26,26 - 35,M,Unknown,Unknown,Unknown,3877,2473,33,74.93939394,High
56,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,15124,1850,44,42.04545455,Medium
58,55+,F,Less than $40K,<Rs33L,Low Income,7712,1574,34,46.29411765,Medium
42,36 - 45,F,Unknown,Unknown,Unknown,19373,1792,48,37.33333333,Medium
30,26 - 35,M,Unknown,Unknown,Unknown,21590,2567,70,36.67142857,High
38,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3657,2758,55,50.14545455,High
47,46 - 55,F,Unknown,Unknown,Unknown,32444,3725,60,62.08333333,High
33,26 - 35,F,$40K - $60K,Rs33L - Rs50L,Low Income,5830,2263,60,37.71666667,High
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,1438.3,1154,22,52.45454545,Low
65,55+,F,Unknown,Unknown,Unknown,6463,2336,49,47.67346939,High
33,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2400,2677,70,38.24285714,High
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,2311,1701,33,51.54545455,Medium
57,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,3585,1344,37,36.32432432,Medium
34,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9131,1893,36,52.58333333,Medium
63,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,3630,71,51.12676056,High
37,36 - 45,F,Less than $40K,<Rs33L,Low Income,1438.3,2075,66,31.43939394,High
39,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5471,1992,46,43.30434783,Medium
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,8823,1961,32,61.28125,Medium
55,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2173,1485,26,57.11538462,Medium
37,36 - 45,M,$120K +,Rs1Cr +,High Income,5616,1564,31,50.4516129,Medium
57,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,8571,1397,28,49.89285714,Medium
45,36 - 45,F,Less than $40K,<Rs33L,Low Income,2803,3347,71,47.14084507,High
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3924,1417,30,47.23333333,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5663,2553,61,41.85245902,High
60,55+,F,Less than $40K,<Rs33L,Low Income,3955,1560,43,36.27906977,Medium
29,26 - 35,F,Less than $40K,<Rs33L,Low Income,7997,2208,56,39.42857143,High
56,55+,F,Less than $40K,<Rs33L,Low Income,3652,1561,39,40.02564103,Medium
37,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12702,1992,40,49.8,Medium
43,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7189,1935,52,37.21153846,Medium
58,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12421,1913,49,39.04081633,Medium
29,26 - 35,F,Less than $40K,<Rs33L,Low Income,2585,3519,73,48.20547945,High
38,36 - 45,M,$120K +,Rs1Cr +,High Income,2818,2916,45,64.8,High
65,55+,M,Less than $40K,<Rs33L,Low Income,2351,1593,35,45.51428571,Medium
62,55+,F,Less than $40K,<Rs33L,Low Income,3143,1323,25,52.92,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6514,3084,63,48.95238095,High
26,26 - 35,F,$40K - $60K,Rs33L - Rs50L,Low Income,3119,2740,62,44.19354839,High
46,46 - 55,F,Less than $40K,<Rs33L,Low Income,13092,936,25,37.44,Low
51,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,2207,68,32.45588235,High
39,36 - 45,M,Less than $40K,<Rs33L,Low Income,3702,2585,64,40.390625,High
51,46 - 55,F,Unknown,Unknown,Unknown,9095,1347,27,49.88888889,Medium
59,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2701,1469,36,40.80555556,Medium
56,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,1813,1468,32,45.875,Medium
56,55+,F,Unknown,Unknown,Unknown,5335,1454,43,33.81395349,Medium
31,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,2469,1615,36,44.86111111,Medium
37,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,3091,2572,65,39.56923077,High
36,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,2683,2373,73,32.50684932,High
26,26 - 35,F,Unknown,Unknown,Unknown,5464,2473,46,53.76086957,High
61,55+,F,Less than $40K,<Rs33L,Low Income,2942,1479,28,52.82142857,Medium
26,26 - 35,M,Less than $40K,<Rs33L,Low Income,2735,2441,58,42.0862069,High
35,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,15279,2079,57,36.47368421,High
53,46 - 55,M,$120K +,Rs1Cr +,High Income,14938,2248,51,44.07843137,High
59,55+,M,Less than $40K,<Rs33L,Low Income,4328,1580,54,29.25925926,Medium
37,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1768,52,34,Medium
38,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5824,1801,44,40.93181818,Medium
56,55+,F,Unknown,Unknown,Unknown,11281,1255,30,41.83333333,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7959,1855,29,63.96551724,Medium
33,26 - 35,M,$120K +,Rs1Cr +,High Income,4459,2502,48,52.125,High
38,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,17162,2457,54,45.5,High
56,55+,M,$120K +,Rs1Cr +,High Income,16254,2502,55,45.49090909,High
59,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3278,1374,32,42.9375,Medium
30,26 - 35,M,Less than $40K,<Rs33L,Low Income,7173,1793,33,54.33333333,Medium
56,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,3295,1191,34,35.02941176,Low
33,26 - 35,M,$120K +,Rs1Cr +,High Income,25033,2529,71,35.61971831,High
31,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,4232,2565,69,37.17391304,High
26,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,2703,2111,29,72.79310345,High
29,26 - 35,M,Less than $40K,<Rs33L,Low Income,2710,1718,37,46.43243243,Medium
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2322,1573,27,58.25925926,Medium
35,26 - 35,F,Less than $40K,<Rs33L,Low Income,5931,2730,71,38.45070423,High
35,26 - 35,M,$120K +,Rs1Cr +,High Income,3300,1745,27,64.62962963,Medium
56,55+,F,Less than $40K,<Rs33L,Low Income,1438.3,1354,24,56.41666667,Medium
35,26 - 35,F,Unknown,Unknown,Unknown,34516,2562,62,41.32258065,High
35,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,8682,1792,36,49.77777778,Medium
32,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,12616,1376,29,47.44827586,Medium
49,46 - 55,M,Less than $40K,<Rs33L,Low Income,9652,3762,73,51.53424658,High
36,36 - 45,M,$120K +,Rs1Cr +,High Income,1651,2516,54,46.59259259,High
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2576,2568,34,75.52941176,High
58,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2212,1387,34,40.79411765,Medium
35,26 - 35,F,Less than $40K,<Rs33L,Low Income,2157,2111,59,35.77966102,High
39,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,2575,1487,33,45.06060606,Medium
65,55+,F,Less than $40K,<Rs33L,Low Income,8705,2688,88,30.54545455,High
65,55+,M,Less than $40K,<Rs33L,Low Income,3838,1467,29,50.5862069,Medium
51,46 - 55,M,$120K +,Rs1Cr +,High Income,10306,1456,44,33.09090909,Medium
56,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,5366,1748,38,46,Medium
58,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2994,1540,32,48.125,Medium
39,36 - 45,M,Less than $40K,<Rs33L,Low Income,4247,847,17,49.82352941,Low
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,1737,1954,42,46.52380952,Medium
58,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,18431,2950,61,48.36065574,High
34,26 - 35,F,Less than $40K,<Rs33L,Low Income,2263,2154,37,58.21621622,High
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2718,1711,36,47.52777778,Medium
54,46 - 55,F,Unknown,Unknown,Unknown,5839,1640,44,37.27272727,Medium
26,26 - 35,F,Unknown,Unknown,Unknown,5137,2496,49,50.93877551,High
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11909,1938,53,36.56603774,Medium
32,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,21390,2477,59,41.98305085,High
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,9264,4107,79,51.98734177,High
39,36 - 45,F,Less than $40K,<Rs33L,Low Income,5484,2025,51,39.70588235,High
32,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,4739,886,21,42.19047619,Low
30,26 - 35,M,Less than $40K,<Rs33L,Low Income,7970,1284,30,42.8,Medium
37,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3127,2292,49,46.7755102,High
38,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,7756,1858,51,36.43137255,Medium
46,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,3508,58,60.48275862,High
36,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5605,2338,41,57.02439024,High
33,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2946,2017,48,42.02083333,High
58,55+,F,Less than $40K,<Rs33L,Low Income,8886,4148,79,52.50632911,High
46,46 - 55,M,$120K +,Rs1Cr +,High Income,3104,2781,74,37.58108108,High
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,19435,2062,55,37.49090909,High
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,3312,1973,55,35.87272727,Medium
50,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1930,36,53.61111111,Medium
41,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5246,3189,56,56.94642857,High
53,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2432,3670,60,61.16666667,High
36,36 - 45,F,Less than $40K,<Rs33L,Low Income,3103,1836,48,38.25,Medium
38,36 - 45,M,$120K +,Rs1Cr +,High Income,30746,1519,43,35.3255814,Medium
55,46 - 55,F,Unknown,Unknown,Unknown,34516,1353,40,33.825,Medium
45,36 - 45,M,$120K +,Rs1Cr +,High Income,11962,1907,52,36.67307692,Medium
36,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,14690,2746,68,40.38235294,High
45,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,6629,3891,69,56.39130435,High
38,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,5535,1764,38,46.42105263,Medium
35,26 - 35,F,Less than $40K,<Rs33L,Low Income,2544,2289,49,46.71428571,High
48,46 - 55,M,Less than $40K,<Rs33L,Low Income,3305,2027,57,35.56140351,High
51,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1959,42,46.64285714,Medium
37,36 - 45,F,Unknown,Unknown,Unknown,9466,2503,70,35.75714286,High
33,26 - 35,F,Unknown,Unknown,Unknown,5297,2655,62,42.82258065,High
31,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4260,2109,52,40.55769231,High
40,36 - 45,F,Less than $40K,<Rs33L,Low Income,7291,2198,56,39.25,High
43,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,13882,1646,42,39.19047619,Medium
63,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,6500,1497,27,55.44444444,Medium
35,26 - 35,F,Less than $40K,<Rs33L,Low Income,1626,2847,61,46.67213115,High
31,26 - 35,F,Less than $40K,<Rs33L,Low Income,6662,3264,83,39.3253012,High
36,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5846,2056,41,50.14634146,High
34,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8063,2042,49,41.67346939,High
29,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,6224,2222,39,56.97435897,High
55,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,4597,1504,38,39.57894737,Medium
46,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,7869,998,25,39.92,Low
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,17884,2031,49,41.44897959,High
52,46 - 55,F,Less than $40K,<Rs33L,Low Income,1438.3,947,33,28.6969697,Low
40,36 - 45,F,Less than $40K,<Rs33L,Low Income,2046,3432,49,70.04081633,High
46,46 - 55,F,Less than $40K,<Rs33L,Low Income,6370,1783,40,44.575,Medium
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,2737,1619,37,43.75675676,Medium
36,36 - 45,M,Less than $40K,<Rs33L,Low Income,2622,2717,79,34.39240506,High
44,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,7266,1741,27,64.48148148,Medium
37,36 - 45,F,Less than $40K,<Rs33L,Low Income,2258,2511,55,45.65454545,High
35,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6510,2238,49,45.67346939,High
64,55+,F,Unknown,Unknown,Unknown,2508,1607,44,36.52272727,Medium
52,46 - 55,F,Unknown,Unknown,Unknown,4006,1157,34,34.02941176,Low
37,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,3252,2953,72,41.01388889,High
45,36 - 45,F,Unknown,Unknown,Unknown,16317,2944,71,41.46478873,High
28,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,2109,2261,56,40.375,High
65,55+,F,Less than $40K,<Rs33L,Low Income,7023,2535,51,49.70588235,High
55,46 - 55,M,$120K +,Rs1Cr +,High Income,8302,1576,34,46.35294118,Medium
55,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9959,1584,28,56.57142857,Medium
41,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,3636,4254,79,53.84810127,High
57,55+,F,Less than $40K,<Rs33L,Low Income,5184,1834,55,33.34545455,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,14575,3444,80,43.05,High
29,26 - 35,M,Unknown,Unknown,Unknown,3107,2460,71,34.64788732,High
62,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,1281,32,40.03125,Medium
42,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3092,2133,41,52.02439024,High
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,8322,3700,62,59.67741935,High
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,10110,4063,74,54.90540541,High
34,26 - 35,F,Less than $40K,<Rs33L,Low Income,2707,1926,33,58.36363636,Medium
37,36 - 45,M,Unknown,Unknown,Unknown,4397,2473,47,52.61702128,High
33,26 - 35,F,Unknown,Unknown,Unknown,5795,2322,65,35.72307692,High
40,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9760,4542,86,52.81395349,High
51,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,6103,3203,64,50.046875,High
65,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2246,1429,32,44.65625,Medium
46,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4930,3343,77,43.41558442,High
27,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,3178,2010,31,64.83870968,High
37,36 - 45,F,Less than $40K,<Rs33L,Low Income,3003,3148,68,46.29411765,High
34,26 - 35,F,Unknown,Unknown,Unknown,2318,2689,57,47.1754386,High
34,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,2638,1868,43,43.44186047,Medium
35,26 - 35,F,Less than $40K,<Rs33L,Low Income,2004,1974,60,32.9,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,2414,2000,62,32.25806452,High
60,55+,F,Less than $40K,<Rs33L,Low Income,1438.3,1267,27,46.92592593,Medium
56,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2043,2311,57,40.54385965,High
52,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,3072,67,45.85074627,High
45,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,3111,1998,41,48.73170732,Medium
56,55+,M,$120K +,Rs1Cr +,High Income,2585,1590,33,48.18181818,Medium
26,26 - 35,M,Less than $40K,<Rs33L,Low Income,2469,1027,20,51.35,Low
30,26 - 35,M,Less than $40K,<Rs33L,Low Income,8744,2579,68,37.92647059,High
34,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4185,2179,55,39.61818182,High
39,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,4759,2903,57,50.92982456,High
36,36 - 45,M,$120K +,Rs1Cr +,High Income,24457,2739,65,42.13846154,High
32,26 - 35,M,$120K +,Rs1Cr +,High Income,14244,2729,66,41.34848485,High
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6572,1766,46,38.39130435,Medium
50,46 - 55,F,Unknown,Unknown,Unknown,23381,4357,73,59.68493151,High
39,36 - 45,F,Less than $40K,<Rs33L,Low Income,3471,1771,34,52.08823529,Medium
61,55+,F,Less than $40K,<Rs33L,Low Income,2250,1339,28,47.82142857,Medium
65,55+,F,Unknown,Unknown,Unknown,15965,1619,40,40.475,Medium
45,36 - 45,F,Less than $40K,<Rs33L,Low Income,9433,3910,81,48.27160494,High
34,26 - 35,M,$120K +,Rs1Cr +,High Income,9180,2646,49,54,High
37,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,8818,1865,31,60.16129032,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,4066,3888,77,50.49350649,High
56,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9031,1602,35,45.77142857,Medium
36,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,9887,2552,64,39.875,High
65,55+,F,Less than $40K,<Rs33L,Low Income,4161,1203,30,40.1,Medium
26,26 - 35,M,Less than $40K,<Rs33L,Low Income,2740,1997,44,45.38636364,Medium
26,26 - 35,F,Unknown,Unknown,Unknown,6152,968,23,42.08695652,Low
34,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8167,2141,51,41.98039216,High
51,46 - 55,M,$120K +,Rs1Cr +,High Income,23742,3783,57,66.36842105,High
57,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,16791,2983,74,40.31081081,High
30,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,26783,2495,46,54.23913043,High
35,26 - 35,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,25516,2317,38,60.97368421,High
32,26 - 35,M,$40K - $60K,Rs33L - Rs50L,Low Income,4815,2501,36,69.47222222,High
62,55+,M,Unknown,Unknown,Unknown,3198,1402,35,40.05714286,Medium
32,26 - 35,M,Less than $40K,<Rs33L,Low Income,2218,730,20,36.5,Low
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,23462,1387,33,42.03030303,Medium
